Data;Corrente Total;Tensão Fase AB;Tensão Fase BC;Tensão Fase CA
07-fev-18 19:30:01;1,29768765;385,112854;386,0512085;384,9349365
08-fev-18 07:00:01;1,407248735;392,1464539;392,2892761;391,68927
08-fev-18 07:30:01;3,1824646;390,1141663;389,7986755;389,1986694
08-fev-18 08:00:01;8,855481148;388,6793823;389,0034485;389,3189087
08-fev-18 08:30:01;14,5284977;391,9989014;391,5018616;390,8464966
08-fev-18 09:00:01;20,2015152;390,1239929;390,8753357;390,3174133
08-fev-18 09:30:01;24,65847969;389,6000061;390,6365967;390,3328552
08-fev-18 10:00:01;29,1049614;395,2872925;396,8363953;395,8872986
08-fev-18 10:30:01;33,55144501;391,3879395;392,714386;391,7069702
08-fev-18 11:00:01;35,73316956;391,8074036;393,5924377;392,4036865
08-fev-18 11:30:01;39,13617325;392,5096436;394,2322388;392,7548523
08-fev-18 12:00:01;40,20604706;394,4336243;395,5705566;394,1954956
08-fev-18 12:30:01;41,27591705;394,6717834;395,1595154;393,6606445
08-fev-18 13:00:01;41,68754578;392,7278137;393,5191345;390,7362061
08-fev-18 13:30:01;41,47326279;390,9005127;391,8691711;388,4750977
08-fev-18 14:00:01;41,4249649;392,0638428;392,1025696;391,4838562
08-fev-18 14:30:01;42,07149124;389,5743713;390,9743652;389,6292419
08-fev-18 15:00:01;43,06035614;390,3742065;391,5355225;389,9484253
08-fev-18 15:30:01;38,22026443;391,6871948;393,1624146;391,6376038
08-fev-18 16:00:01;34,32353592;396,328064;396,8420715;394,7924805
08-fev-18 16:30:01;30,48978615;395,4419861;397,1047668;394,6000061
08-fev-18 17:00:01;24,94589615;393,822876;394,526886;393,7659607
08-fev-18 17:30:01;5,777830124;388,8391418;389,7293396;388,8842468
08-fev-18 18:00:01;5,401369095;388,286377;389,7690125;389,5394287
08-fev-18 18:30:01;4,829754829;390,6191406;390,6299133;390,7893677
08-fev-18 19:00:01;3,780500889;391,6513062;392,4512939;390,9577026
08-fev-18 19:30:01;2,166245937;386,4287415;387,2287598;386,5579834
09-fev-18 07:00:01;1,545457482;391,9023743;391,6968689;391,0172424
09-fev-18 07:30:01;2,854053974;388,2109375;390,1516418;387,3526001
09-fev-18 08:00:01;8,569914818;389,0279236;389,6221924;388,2279358
09-fev-18 08:30:01;14,28577614;388,4120178;389,6019897;388,3630676
09-fev-18 09:00:01;19,96798706;392,5256958;393,5246887;392,3129272
09-fev-18 09:30:01;24,32590294;395,7610168;396,2572632;394,531311
09-fev-18 10:00:01;28,68381882;395,2392273;396,3822632;394,3287354
09-fev-18 10:30:01;33,04173279;394,1595154;396,3999939;394,3604126
09-fev-18 11:00:01;36,82269287;395,2228699;396,3999939;395,2088928
09-fev-18 11:30:01;39,20028687;396,6477966;397,5202637;396,057373
09-fev-18 12:00:01;40,22457123;398,1828003;400,9702148;397,2605896
09-fev-18 12:30:01;41,0216217;399,3186035;398,9836121;397,4632874
09-fev-18 13:00:01;42,4860611;394,65979;395,0697937;394,4333191
09-fev-18 13:30:01;42,46952438;391,3379517;395,2252197;391,1485291
09-fev-18 14:00:01;41,74452591;393,9762573;395,9164429;393,3794861
09-fev-18 14:30:01;42,90813446;392,053894;393,7135925;391,5941772
09-fev-18 15:00:01;42,12249756;394,0609131;395,3937378;393,2609253
09-fev-18 15:30:01;36,54415894;392,1348877;394,1069641;391,3372498
09-fev-18 16:00:01;31,5502224;394,265564;396,0275574;394,1489258
09-fev-18 16:30:01;27,85261154;394,5096741;396,960968;394,9682007
09-fev-18 17:00:01;23,92425728;393,4325562;393,1663208;392,8229675
09-fev-18 17:30:01;17,5640831;393,6934509;395,6863403;393,8387451
09-fev-18 18:00:01;10,7401371;388,2180786;390,8000183;387,0418396
09-fev-18 18:30:01;5,536106586;388,4158936;390,256134;388,3049927
09-fev-18 19:00:01;3,541253805;388,6137085;389,5387268;389,5681152
09-fev-18 19:30:01;1,546401024;388,641449;388,8213196;388,3660278
10-fev-18 07:00:01;1,763202071;392,2514954;392,7584229;391,8515015
10-fev-18 07:30:01;2,037637472;391,0514221;391,5142822;389,2382507
10-fev-18 08:00:01;6,300860405;389,9264832;390,1783447;389,3999939
10-fev-18 08:30:01;11,35985088;388,449646;388,4510803;387,7468262
10-fev-18 09:00:01;11,95178509;387,5229492;387,5486755;386,5388184
10-fev-18 09:30:01;12,55905056;389,9192505;389,4513245;388,9213257
10-fev-18 10:00:01;10,45433521;389,7717285;389,1276245;389,0743103
10-fev-18 10:30:01;18,32370186;389,5353088;389,7943115;388,9924622
10-fev-18 11:00:01;23,75447655;390,8551941;390,1657715;389,7543335
10-fev-18 11:30:01;40,78396988;394,0398254;394,6141052;393,5170288
10-fev-18 12:00:01;16,55959702;392,2628479;391,8226318;391,4628601
10-fev-18 12:30:01;16,67039871;390,049469;390,8000183;390
10-fev-18 13:00:01;20,26012993;391,1744385;391,7136536;391,3370056
10-fev-18 13:30:01;41,04446411;394,9141846;395,283783;393,6555481
10-fev-18 14:00:01;32,9646225;394,881012;395,6062012;394,4810181
10-fev-18 14:30:01;20,42884636;391,2503357;392,9390869;390,8717346
10-fev-18 15:00:01;18,07603455;390,050354;390,6581116;389,8431702
10-fev-18 15:30:01;9,543930054;388,792572;390,0153809;389,2153931
10-fev-18 16:00:01;3,591100693;387,8695068;389,4051514;388,6051636
10-fev-18 16:30:01;1,97243464;387,0370789;389,3999939;387,112854
10-fev-18 17:00:01;2,925853968;387,6761475;389,5130005;389,2096863
10-fev-18 17:30:01;3,032367468;388,3152161;389,6620789;389,6009827
10-fev-18 18:00:01;2,761019945;388,9542542;389,8111572;389,9922791
10-fev-18 18:30:01;2,489672422;389,5933228;389,9602356;390,383606
10-fev-18 19:00:01;2,2183249;390,2323914;390,109314;390,7749023
11-fev-18 07:00:01;0,703692257;393,5578003;394,3069763;392,9905396
11-fev-18 07:30:01;2,744798899;393,0962524;393,2900085;392,8871155
11-fev-18 08:00:01;5,751173973;390,8128052;392,4422913;392,4612427
11-fev-18 08:30:01;12,20209599;390,7911377;392,7812805;391,7568054
11-fev-18 09:00:01;18,48601151;391,3308105;393,1202698;391,6943054
11-fev-18 09:30:01;24,04866219;391,8705139;393,459259;391,6318054
11-fev-18 10:00:01;29,10436058;392,4101868;393,7982178;391,8456726
11-fev-18 10:30:01;32,19719696;392,9498901;394,137207;392,3456726
11-fev-18 11:00:01;37,17255783;393,489563;393,9953918;392,8457031
11-fev-18 11:30:01;22,25754738;391,4082336;391,9545898;390,901001
11-fev-18 12:00:01;39,7160759;395,0435791;396,0044556;394,8789063
11-fev-18 12:30:01;33,22966766;393,8845825;394,6337585;394,2845764
11-fev-18 13:00:01;42,94293213;395,2018433;395,6036682;394,4110107
11-fev-18 13:30:01;43,83286285;395,567749;395,8322754;394,6645203
11-fev-18 14:00:01;39,20886612;395,3515625;396,2511292;394,9013672
11-fev-18 14:30:01;42,86933517;395,7719727;396,0975952;395,3719788
11-fev-18 15:00:01;30,34576988;393,2207947;394,067688;392,9697571
11-fev-18 15:30:01;22,90965271;391,0063782;392,080719;391,1320801
11-fev-18 16:00:01;32,92037201;393,7147522;394,6888123;393,4888306
11-fev-18 16:30:01;29,8842926;392,4456787;393,3043518;392,1043396
11-fev-18 17:00:01;8,032670021;387,2903442;388,1806641;387,1096802
11-fev-18 17:30:01;7,752451897;390,3999939;390,8224182;389,5567627
11-fev-18 18:00:01;11,35193157;389,5380859;390,884613;390,5543823
11-fev-18 18:30:01;6,051983356;388,0730286;388,601532;388,7082214
11-fev-18 19:00:01;0,752035439;386,6079712;387,3742371;386,8620605
11-fev-18 19:30:01;0,498129994;388,7770996;388,838623;388,2251282
12-fev-18 07:00:01;1,93062222;291,2915039;292,0349731;290,8454285
12-fev-18 07:30:01;2,171206236;391,2051086;392,5948792;390,8430786
12-fev-18 08:00:01;2,411790371;390,8000183;392,3379822;391,0134277
12-fev-18 08:30:01;16,26507378;390,8000183;391,2713318;391,2582397
12-fev-18 09:00:01;7,704045296;390,4239197;390,8000183;388,223938
12-fev-18 09:30:01;12,56867695;390,84021;391,3075256;389,9734192
12-fev-18 10:00:01;23,18300438;394,4142151;393,5237732;393,2327881
12-fev-18 10:30:01;38,16347122;393,9419556;394,2000122;393,6085205
12-fev-18 11:00:01;14,92760372;389,921936;390,6003723;389,3609924
12-fev-18 11:30:01;16,36315536;392,1798096;392,3483582;390,9798279
12-fev-18 12:00:01;36,80408478;395,3632202;395,3632202;394,2147217
12-fev-18 12:30:01;18,01408768;390,2810974;390,2946167;390,1264648
12-fev-18 13:00:01;13,88817596;390,8958435;391,8467712;389,8120117
12-fev-18 13:30:01;9,904515266;389,4678345;390,2067261;388,7008972
12-fev-18 14:00:01;18,69144058;390,7293701;391,177063;390,9549561
12-fev-18 14:30:01;36,80354309;395,9612427;395,2129211;393,7452087
12-fev-18 15:00:01;32,29808807;394,7477112;394,2230835;393,6984558
12-fev-18 15:30:01;33,54351807;393,4845581;393,1704407;392,8563538
12-fev-18 16:00:01;30,58710098;394,338562;393,3446655;392,0265808
12-fev-18 16:30:01;20,55605507;391,0410156;391,8894958;389,89151
12-fev-18 17:00:01;9,86827755;391,0014648;390,7597046;391,3257446
12-fev-18 17:30:01;7,873300552;389,5586853;390,5491638;388,8717957
12-fev-18 18:00:01;6,803974628;389,334137;390,4364319;389,447113
12-fev-18 18:30:01;5,346883297;389,2389221;390,5614319;390,0224609
12-fev-18 19:00:01;3,864972591;389,9392395;389,0501099;388,750061
12-fev-18 19:30:01;2,344459534;388,6956787;388,6671143;388,6223755
13-fev-18 07:30:01;2,127430439;393,348999;393,9122925;392,8306274
13-fev-18 08:00:01;2,455160618;392,5903931;392,8778381;391,9341125
13-fev-18 08:30:01;8,906046867;391,8318176;391,8433838;391,0375671
13-fev-18 09:00:01;16,44438934;393,5964966;393,0575562;391,8709412
13-fev-18 09:30:01;9,407348633;391,4927979;389,7660217;390,2421265
13-fev-18 10:00:01;13,17809963;390,0460205;390,8160706;390,2614441
13-fev-18 10:30:01;42,00431442;393,8614807;393,8233948;393,8110046
13-fev-18 11:00:01;13,63498688;389,2860107;389,3521423;388,9309998
13-fev-18 11:30:01;47,21108246;394,8299255;394,1822205;393,2693176
13-fev-18 12:00:01;25,13346291;391,1025391;389,9060669;389,3897705
13-fev-18 12:30:01;8,005860329;389,7469177;389,5999146;389,4143982
13-fev-18 13:00:01;10,36972141;390,4527283;390,0066833;390,6643372
13-fev-18 13:30:01;1,982067704;389,9772644;390,0812073;388,9791565
13-fev-18 14:00:01;1,940235496;389,1903381;389,8547974;387,8131714
13-fev-18 14:30:01;1,898403406;389,1935425;390,090332;388,4693909
13-fev-18 15:00:01;1,856571198;389,3235779;390,3945923;388,6395264
13-fev-18 15:30:01;1,814738989;391,6903076;393,8437195;392,6000061
13-fev-18 16:00:01;1,77290678;391,8654175;392,7115784;392,6000061
13-fev-18 16:30:01;3,972851276;392,990448;393,1907654;392,7489014
13-fev-18 17:00:01;5,203170776;392,8401489;393,0401611;392,5561523
13-fev-18 17:30:01;5,756756783;390,4780273;391,7639771;390,4084473
13-fev-18 18:00:01;6,291692257;391,2053223;391,4747925;390,7513123
13-fev-18 18:30:01;6,472939014;392,0763245;391,1856384;391,0941772
13-fev-18 19:00:01;4,168204784;391,0027771;390,6535645;390,5618591
13-fev-18 19:30:01;1,863470078;387,9703369;389,0260925;388,6956177
14-fev-18 07:00:01;2,013970852;392,1004639;392,7086182;391,5424805
14-fev-18 07:30:01;2,32582283;390,5696106;391,1349487;390,5522156
14-fev-18 08:00:01;2,751183748;389,1894531;389,5903625;389,5619507
14-fev-18 08:30:01;7,675246239;388,7608643;389,1990662;388,5716858
14-fev-18 09:00:01;8,3335886;391,0619202;391,2626343;390,5132446
14-fev-18 09:30:01;8,920349121;388,8000183;389,5528259;389,0130005
14-fev-18 10:00:01;9,507110596;388,8000183;389,4417114;388,6000061
14-fev-18 10:30:01;14,49324703;390,6247864;391,6494141;390,47229
14-fev-18 11:00:01;22,84806633;393,1276855;393,9350281;392,335022
14-fev-18 11:30:01;41,17487335;396,1124268;395,8188782;394,722168
14-fev-18 12:00:01;41,2701416;395,3685303;396,1370544;394,9370422
14-fev-18 12:30:01;44,15559006;397,0872498;397,9469299;396,9891052
